dataset,system,seed,epoch,step,loss,started_at_utc
ade,hrge,42,1,400,0.09144,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,405,0.0007,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,410,0.0007,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,415,0.00081,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,420,0.02988,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,425,0.04202,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,430,0.00014,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,435,0.00114,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,440,0.02443,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,445,0.00017,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,450,0.02042,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,455,0.00301,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,460,0.00418,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,465,0.04421,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,470,0.00013,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,475,0.00186,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,480,0.0603,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,485,0.00048,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,490,0.02886,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,495,0.00939,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,500,0.02983,2026-09-04T09:46:48.412932+00:00
ade,hrge,42,1,505,0.0003,2026-09-04T09:46:48.412932+00:00
